id,user_id,post_id,message,commented_at,created_at,updated_at
1,43,2,if you’ve never been through a matter transference beam before you’ve probably lost some salt and protein. The beer you had should have cushioned your system a bit.,2017-10-03 16:59:58.000000,2017-11-21 00:40:16.362586,2017-11-21 00:40:16.362586
2,4,3,"Shante, You Stay",2017-09-30 19:40:47.000000,2017-11-21 00:40:16.373877,2017-11-21 00:40:16.373877
3,19,3,Life Is About Using The Whole Box Of Crayons,2017-09-29 16:41:48.000000,2017-11-21 00:40:16.378456,2017-11-21 00:40:16.378456
4,45,3,Lip-Sync for Your Life,2017-10-01 15:52:29.000000,2017-11-21 00:40:16.386339,2017-11-21 00:40:16.386339
5,5,4,"Windom Earle's mind is like a diamond. It's cold, and hard, and brilliant.",2017-09-29 04:51:19.000000,2017-11-21 00:40:16.397462,2017-11-21 00:40:16.397462
6,45,4,Get Out Your Library Cards,2017-09-29 18:17:59.000000,2017-11-21 00:40:16.402883,2017-11-21 00:40:16.402883
7,20,4,Do you want to know what the ultimate secret is? Laura did. The secret of knowing who killed you.,2017-10-01 08:34:43.000000,2017-11-21 00:40:16.407817,2017-11-21 00:40:16.407817
8,3,5,I think you ought to know I'm feeling very depressed.,2017-10-19 16:19:01.000000,2017-11-21 00:40:16.421938,2017-11-21 00:40:16.421938
9,18,5,There was a fish in the percolator!,2017-10-21 20:35:07.000000,2017-11-21 00:40:16.426250,2017-11-21 00:40:16.426250
10,32,5,"That's Funny, Tell Another One",2017-10-23 03:20:22.000000,2017-11-21 00:40:16.431241,2017-11-21 00:40:16.431241
11,31,5,if you’ve never been through a matter transference beam before you’ve probably lost some salt and protein. The beer you had should have cushioned your system a bit.,2017-10-24 23:34:42.000000,2017-11-21 00:40:16.436745,2017-11-21 00:40:16.436745
12,47,5,Get Out Your Library Cards,2017-10-27 02:13:34.000000,2017-11-21 00:40:16.442686,2017-11-21 00:40:16.442686
13,45,6,"That's Funny, Tell Another One",2017-09-29 04:10:43.000000,2017-11-21 00:40:16.450326,2017-11-21 00:40:16.450326
14,13,7,"Things we lose have a way of coming back to us in the end, if not always in the way we expect.",2017-09-27 04:03:08.000000,2017-11-21 00:40:16.459711,2017-11-21 00:40:16.459711
15,24,7,"Through the darkness of future's past, the magician longs to see. One chants out between two worlds... ""Fire... walk with me.""",2017-10-03 18:49:20.000000,2017-11-21 00:40:16.463831,2017-11-21 00:40:16.463831
16,26,7,"Harry, suffering like this proves you are still a man! This pain is part of being human … the fact that you can feel pain like this is your greatest strength.",2017-09-30 18:33:10.000000,2017-11-21 00:40:16.468845,2017-11-21 00:40:16.468845
17,14,7,"Every day, once a day, give yourself a present.",2017-10-01 15:29:13.000000,2017-11-21 00:40:16.473076,2017-11-21 00:40:16.473076
18,15,8,You Betta Work,2017-11-23 11:54:06.000000,2017-11-21 00:40:16.482662,2017-11-21 00:40:16.482662
19,48,8,42,2017-11-26 02:40:16.000000,2017-11-21 00:40:16.487823,2017-11-21 00:40:16.487823
